                                         MATRIZ DE REQUERIMIENTOS FUNCIONALES vs. CASOS DE USO — Plugin Feedback Canvas                                                 Unnamed: 1                           Unnamed: 2                        Unnamed: 3                      Unnamed: 4                           Unnamed: 5                     Unnamed: 6                    Unnamed: 7                     Unnamed: 8                        Unnamed: 9                Unnamed: 10                        Unnamed: 11                         Unnamed: 12                           Unnamed: 13
0   ✓ = El requerimiento funcional está cubierto por el grupo de Casos de Uso indicado    |    — = Sin relación directa                                                        NaN                                  NaN                               NaN                             NaN                                  NaN                            NaN                           NaN                            NaN                               NaN                        NaN                                NaN                                 NaN                                   NaN
1                                                                                                                    RF                              Descripción del Requerimiento  CU01-CU05\nGeneración\nFeedback\nIA  CU06-CU08\nVariables\ny\nCalidad  CU09-CU15\nGestión\nPlantillas  CU16-CU22\nIntegración\nCanvas\nLTI  CU23-CU30\nRevisión\nProfesor  CU31-CU33\nVista\nEstudiante  CU34-CU37\nConfig.\nVariables  CU38-CU41\nGestión\nCursos/Asig.  CU42-CU45\nNotificaciones  CU46-CU50\nReportes\nEstadísticas  CU51-CU56\nAdministración\nSistema  CU57-CU64\nDespliegue\nAccesibilidad
12                                                                                                                 RF11                              Modificar plantilla existente                                    —                                 —                               ✓                                    —                              ✓                             —                              ✓                                 —                          —                                  —                                   —                                     —
13                                                                                                                 RF12             Eliminar plantilla con diálogo de confirmación                                    —                                 —                               ✓                                    —                              —                             —                              —                                 —                          —                                  —                                   ✓                                     —
14                                                                                                                 RF13                          Almacenar historial de plantillas                                    —                                 —                               ✓                                    —                              ✓                             —                              —                                 —                          —                                  ✓                                   —                                     —
15                                                                                                                 RF14                               Duplicar plantilla existente                                    —                                 —                               ✓                                    —                              —                             —                              ✓                                 —                          —                                  —                                   —                                     —
16                                                                                                                 RF15                  Validar rangos antes de activar plantilla                                    —                                 —                               ✓                                    —                              —                             —                              ✓                                 —                          —                                  —                                   ✓                                     —
17                                                                                                                 RF16          Integrar plugin en SpeedGrader como panel lateral                                    —                                 —                               —                                    ✓                              ✓                             —                              —                                 —                          —                                  —                                   —                                     ✓
18                                                                                                                 RF17               Insertar feedback como comentario de rúbrica                                    —                                 —                               —                                    ✓                              ✓                             —                              —                                 —                          —                                  —                                   —                                     —
19                                                                                                                 RF18                  Autenticar mediante LTI 1.3 con OAuth 2.0                                    —                                 —                               —                                    ✓                              —                             —                              —                                 —                          —                                  —                                   ✓                                     ✓
20                                                                                                                 RF19                Respetar roles y permisos nativos de Canvas                                    —                                 —                               —                                    ✓                              —                             —                              —                                 —                          —                                  —                                   ✓                                     —
21                                                                                                                 RF20                  Funcionar sobre instancia local de Canvas                                    —                                 —                               —                                    ✓                              —                             —                              —                                 —                          —                                  —                                   —                                     ✓
22                                                                                                                 RF21                             Consumir API REST v1 de Canvas                                    —                                 —                               —                                    ✓                              —                             —                              —                                 ✓                          —                                  —                                   ✓                                     —
23                                                                                                                 RF22        Sincronizar libro de calificaciones automáticamente                                    ✓                                 —                               —                                    ✓                              —                             —                              —                                 ✓                          —                                  —                                   —                                     —
24                                                                                                                 RF23                      Listar feedbacks pendientes filtrable                                    —                                 —                               —                                    —                              ✓                             —                              —                                 ✓                          —                                  ✓                                   —                                     —
25                                                                                                                 RF24              Visualizar detalle de feedback por estudiante                                    —                                 —                               —                                    —                              ✓                             ✓                              —                                 —                          —                                  ✓                                   —                                     —
26                                                                                                                 RF25           Editar texto del feedback con editor enriquecido                                    —                                 ✓                               —                                    —                              ✓                             —                              —                                 —                          —                                  —                                   —                                     —
27                                                                                                                 RF26                 Aprobar feedback y registrar con metadatos                                    —                                 —                               —                                    —                              ✓                             —                              —                                 —                          —                                  ✓                                   ✓                                     —
28                                                                                                                 RF27                 Rechazar feedback y solicitar regeneración                                    ✓                                 —                               —                                    —                              ✓                             —                              —                                 —                          —                                  —                                   —                                     —
29                                                                                                                 RF28                Aprobar múltiples feedbacks de forma masiva                                    —                                 —                               —                                    —                              ✓                             —                              —                                 ✓                          —                                  —                                   —                                     —
30                                                                                                                 RF29                      Agregar notas privadas sobre feedback                                    —                                 —                               —                                    —                              ✓                             —                              —                                 —                          —                                  —                                   ✓                                     —
31                                                                                                                 RF30          Mostrar etiquetas visuales de estado de feedbacks                                    —                                 —                               —                                    —                              ✓                             —                              —                                 —                          ✓                                  —                                   —                                     —
32                                                                                                                 RF31   Estudiante visualiza feedback en vista de calificaciones                                    —                                 —                               —                                    ✓                              —                             ✓                              —                                 —                          ✓                                  —                                   —                                     —
33                                                                                                                 RF32            Historial de feedbacks recibidos del estudiante                                    —                                 —                               —                                    —                              ✓                             ✓                              —                                 —                          —                                  ✓                                   —                                     —
34                                                                                                                 RF33                    Estudiante evalúa utilidad del feedback                                    —                                 —                               —                                    —                              —                             ✓                              —                                 —                          —                                  ✓                                   —                                     —
35                                                                                                                 RF34          Configurar variables de personalización por curso                                    —                                 ✓                               —                                    —                              —                             —                              ✓                                 ✓                          —                                  —                                   —                                     —
36                                                                                                                 RF35                  Activar/desactivar variables individuales                                    —                                 —                               —                                    —                              —                             —                              ✓                                 —                          —                                  —                                   ✓                                     —
37                                                                                                                 RF36        Persistir configuración de variables entre sesiones                                    —                                 —                               —                                    —                              —                             —                              ✓                                 —                          —                                  —                                   ✓                                     —
38                                                                                                                 RF37          Asignar ponderación (%) a variables, validar 100%                                    —                                 ✓                               —                                    —                              —                             —                              ✓                                 —                          —                                  —                                   —                                     —
39                                                                                                                 RF38               Seleccionar curso activo para aplicar plugin                                    —                                 —                               —                                    ✓                              —                             —                              —                                 ✓                          —                                  —                                   —                                     —
40                                                                                                                 RF39                 Listar asignaciones evaluables con rúbrica                                    —                                 —                               —                                    —                              ✓                             —                              —                                 ✓                          —                                  —                                   —                                     —
41                                                                                                                 RF40                   Activar/desactivar plugin por asignación                                    —                                 —                               —                                    —                              —                             —                              —                                 ✓                          —                                  —                                   ✓                                     —
42                                                                                                                 RF41          Detectar nueva calificación y disparar generación                                    ✓                                 —                               —                                    —                              —                             —                              —                                 ✓                          ✓                                  —                                   —                                     —
43                                                                                                                 RF42       Enviar notificación al estudiante por nuevo feedback                                    —                                 —                               —                                    —                              —                             ✓                              —                                 —                          ✓                                  —                                   —                                     —
44                                                                                                                 RF43                Configurar método de notificación preferido                                    —                                 —                               —                                    —                              —                             —                              ✓                                 —                          ✓                                  —                                   ✓                                     —
45                                                                                                                 RF44             Registrar historial de notificaciones enviadas                                    —                                 —                               —                                    —                              —                             —                              —                                 —                          ✓                                  ✓                                   ✓                                     —
46                                                                                                                 RF45       Indicador visual de feedbacks pendientes al profesor                                    —                                 —                               —                                    —                              ✓                             —                              —                                 —                          ✓                                  —                                   —                                     —
47                                                                                                                 RF46         Generar reportes de feedbacks por curso/asignación                                    —                                 —                               —                                    —                              —                             —                              —                                 ✓                          —                                  ✓                                   —                                     —
48                                                                                                                 RF47            Mostrar porcentajes de feedbacks en tiempo real                                    —                                 —                               —                                    —                              ✓                             —                              —                                 —                          —                                  ✓                                   —                                     —
49                                                                                                                 RF48                          Descargar reportes en PDF y Excel                                    —                                 —                               —                                    —                              —                             —                              —                                 —                          —                                  ✓                                   —                                     ✓
50                                                                                                                 RF49     Gráficos de distribución y evolución de calificaciones                                    —                                 ✓                               —                                    —                              —                             ✓                              —                                 —                          —                                  ✓                                   —                                     —
51                                                                                                                 RF50      Estadísticas de utilidad del feedback por estudiantes                                    —                                 —                               —                                    —                              —                             ✓                              —                                 —                          —                                  ✓                                   —                                     —
52                                                                                                                 RF51                        Sistema de roles heredado de Canvas                                    —                                 —                               —                                    ✓                              —                             —                              —                                 —                          —                                  —                                   ✓                                     —
53                                                                                                                 RF52            Modificar permisos por rol desde administración                                    —                                 —                               —                                    —                              ✓                             —                              —                                 —                          —                                  —                                   ✓                                     —
54                                                                                                                 RF53                   Log de auditoría de acciones de usuarios                                    —                                 —                               —                                    —                              —                             —                              —                                 —                          —                                  ✓                                   ✓                                     —
55                                                                                                                 RF54            Configurar variables operativas del motor de IA                                    ✓                                 —                               —                                    —                              —                             —                              ✓                                 —                          —                                  —                                   ✓                                     —
56                                                                                                                 RF55                Cambiar LLM sin modificar lógica de negocio                                    ✓                                 —                               —                                    —                              —                             —                              —                                 —                          —                                  —                                   ✓                                     ✓
57                                                                                                                 RF56         Gestionar tokens de API con almacenamiento cifrado                                    —                                 —                               —                                    —                              —                             —                              —                                 —                          —                                  —                                   ✓                                     ✓
58                                                                                                                 RF57      Desplegar plugin en Docker con instalador documentado                                    —                                 —                               —                                    —                              —                             —                              —                                 —                          —                                  —                                   ✓                                     ✓
59                                                                                                                 RF58            Registrar plugin LTI automáticamente con script                                    —                                 —                               —                                    ✓                              —                             —                              —                                 —                          —                                  —                                   ✓                                     ✓
60                                                                                                                 RF59  Script de migración de base de datos en primer despliegue                                    —                                 —                               —                                    —                              —                             —                              —                                 —                          —                                  —                                   ✓                                     ✓
61                                                                                                                 RF60          Videos explicativos de instalación y demostración                                    —                                 —                               —                                    —                              —                             ✓                              —                                 —                          —                                  —                                   —                                     ✓
62                                                                                                                 RF61                        Mensajes de error claros en español                                    —                                 —                               —                                    —                              —                             ✓                              —                                 —                          —                                  —                                   —                                     ✓
63                                                                                                                 RF62        Modo de generación de feedback manual como respaldo                                    ✓                                 —                               —                                    —                              ✓                             —                              —                                 —                          —                                  —                                   —                                     ✓
64                                                                                                                 RF63        Historial de feedbacks del semestre sin eliminación                                    —                                 —                               —                                    —                              ✓                             —                              —                                 —                          —                                  ✓                                   —                                     ✓
65                                                                                                                 RF64              Modo solo lectura ante indisponibilidad de IA                                    —                                 —                               —                                    —                              ✓                             —                              —                                 —                          —                                  —                                   ✓                                     ✓
66                                                                                            Total RFs por grupo de CU                                                        NaN                                   11                                10                               8                                   11                             25                            11                             12                                10                          7                                 17                                  26                                    14
